Dependencies\Instances/CVRP/X-n101-k25.vrp;1;28316;0.025
Dependencies\Instances/CVRP/X-n101-k25.vrp;1;28256;0.042
Dependencies\Instances/CVRP/X-n101-k25.vrp;1;28249;0.083
Dependencies\Instances/CVRP/X-n101-k25.vrp;1;28144;0.133
Dependencies\Instances/CVRP/X-n101-k25.vrp;1;28080;0.231
Dependencies\Instances/CVRP/X-n101-k25.vrp;1;27965;0.349
Dependencies\Instances/CVRP/X-n101-k25.vrp;1;27827;0.445
Dependencies\Instances/CVRP/X-n101-k25.vrp;1;27675;0.507
Dependencies\Instances/CVRP/X-n101-k25.vrp;1;27646;0.529
Dependencies\Instances/CVRP/X-n101-k25.vrp;1;27636;0.531
Dependencies\Instances/CVRP/X-n101-k25.vrp;1;27610;0.636
Dependencies\Instances/CVRP/X-n101-k25.vrp;1;27591;0.945
