65,31,22
27,48,2
16,45,9
48,14,13
13,41,30
10,11,3
32,4,5
17,12,1
28,34,12
55,35,1
8,20,2
64,12,48
4,21,7
65,16,2
1,4,5
52,24,8
24,13,14
28,15,2
52,42,13
51,45,2
26,22,2
69,31,8
39,24,2
61,19,3
39,1,17
59,31,7
27,28,1
32,3,9
57,18,2
2,2,8
60,22,3
23,13,2
56,27,5
65,49,12
44,24,5
60,48,6
59,19,2
33,45,10
66,0,3
39,38,3
66,45,8
20,21,24
40,17,19
61,34,9
65,30,2
9,39,29
23,43,5
22,45,14
68,21,1
53,23,6
12,21,2
61,28,5
14,21,8
57,2,2
16,42,12
30,26,1
57,10,1
44,14,3
24,1,3
55,39,11
38,43,2
12,11,8
67,45,51
67,27,1
29,49,2
60,36,1
46,29,23
12,34,7
0,33,11
6,28,3
67,22,1
21,26,16
13,45,2
15,20,27
52,25,1
68,15,2
34,29,3
18,11,3
16,22,1
69,33,6
50,10,47
45,21,3
24,11,40
31,8,3
43,41,3
10,39,9
1,0,1
18,4,46
21,30,1
49,39,11
12,18,5
4,25,53
48,26,20
31,35,3
27,30,3
58,3,2
56,17,3
16,5,14
58,42,2
51,11,10
53,6,17
60,41,1
66,14,1
12,31,2
61,10,18
39,45,11
36,31,35
8,23,3
51,42,1
38,27,9
64,38,12
14,24,6
31,28,8
22,10,2
51,44,3
32,25,11
39,26,1
44,41,11
59,42,3
45,9,21
45,7,6
24,42,2
30,23,40
26,26,9
58,41,2
49,34,3
46,36,17
60,47,2
17,47,7
40,25,1
38,1,1
42,29,8
5,4,16
54,39,7
25,5,1
15,30,2
47,37,10
36,12,2
66,38,40
44,19,1
23,49,3
64,9,3
10,30,8
1,6,2
1,30,3
35,6,7
7,43,2
3,35,5
49,47,11
8,9,2
33,23,3
63,31,3
36,38,3
51,47,1
47,41,1
7,16,2
4,40,3
16,12,3
16,3,1
59,45,2
7,0,11
53,24,3
65,43,1
28,4,1
66,43,9
60,8,1
36,35,5
23,16,15
10,9,1
55,1,2
44,28,48
44,44,3
3,32,15
32,23,2
21,28,3
20,49,9
29,21,9
63,48,1
35,16,3
57,11,1
25,2,1
30,24,3
66,48,6
60,21,51
44,34,9
54,38,3
65,40,9
59,25,1
14,28,2
16,1,11
23,9,8
65,37,13
41,33,1
53,14,13
40,33,8
45,18,3
34,12,7
24,17,1
