6,6,2
53,46,12
10,12,2
25,1,52
2,26,10
60,12,2
32,30,3
56,31,1
29,41,6
9,2,2
11,3,14
15,1,2
7,28,3
58,2,12
37,1,3
42,30,2
19,45,2
40,17,19
40,47,1
0,41,1
34,5,3
37,41,13
43,6,3
56,26,2
19,38,8
16,24,21
52,5,13
44,39,1
55,6,51
45,22,14
52,25,1
4,3,40
18,25,16
61,33,1
50,34,3
36,16,10
35,5,20
17,35,1
29,20,7
16,29,13
30,2,3
24,35,2
44,37,2
28,18,19
39,0,1
9,3,2
37,3,1
16,4,10
66,35,5
35,38,5
18,8,1
28,11,1
43,45,12
17,18,1
19,49,8
19,6,1
30,47,12
60,24,1
26,14,7
16,22,1
26,25,3
9,7,11
41,3,23
65,36,14
30,10,3
48,17,10
63,27,1
21,19,1
50,25,3
9,8,1
33,34,2
16,18,1
28,20,2
69,41,1
63,20,6
26,46,7
8,3,1
7,40,12
0,47,9
30,23,40
55,33,3
63,22,3
38,47,8
21,25,3
3,30,10
32,6,6
31,15,2
47,18,14
0,21,1
53,26,2
24,29,2
0,18,2
17,46,5
48,23,3
32,13,5
35,2,7
30,18,8
16,30,2
66,5,3
18,21,23
